,Word,Frequency,artist
21,geschmissen,2,dendemann
22,rrah,2,dendemann
23,bridge,2,dendemann
24,geheult,2,dendemann
25,zahnschmerzen,2,dendemann
26,schwöre,2,dendemann
27,gar,2,dendemann
28,dicka,2,dendemann
29,halt,2,dendemann
30,fresse,2,dendemann
31,jaynbeat,1,dendemann
32,beattag,1,dendemann
33,nutten,1,dendemann
34,erzähl,1,dendemann
35,schmier,1,dendemann
36,koka,1,dendemann
37,zähne,1,dendemann
38,schmerzen,1,dendemann
39,heulen,1,dendemann
40,wimmern,1,dendemann
41,brüder,1,dendemann
42,herzen,1,dendemann
43,brechen,1,dendemann
44,ficken,1,dendemann
45,scherzen,1,dendemann
46,hah,1,dendemann
47,leder,1,dendemann
48,gerste,1,dendemann
49,vernünftig,1,dendemann
0,hundert,14,kurdo
1,riesen,13,kurdo
2,jahre,10,kurdo
3,runter,9,kurdo
4,digga,8,kurdo
5,fünfzig,8,kurdo
6,bra,8,kurdo
7,hunderttausend,8,kurdo
8,rap,7,kurdo
9,leuchtende,7,kurdo
10,sterne,7,kurdo
11,mann,6,kurdo
12,vergehn,6,kurdo
13,hotel,5,kurdo
