,title,artist,year,info
183,cool yule,Louis Armstrong with the Commanders,1953,Written by Steve Allen. Also a hit remake for singer/actress Bette Midler in 2006.
184,coventry carol,Robert Shaw,1949,Christmas carol dating from the 16th century.
185,cozy little christmas,Katy Perry,2018,"Peaked at No. 1 for one week on Billboard's Adult Contemporary chart on the week ending December 29, 2018. Also made these other Billboard music charts (with peak positions shown): Adult Top 40 (No. 37), Global 200 (No. 110), Holiday 100 (No. 30), Holiday Digital Song Sales (No. 19), Holiday Streaming Songs (No. 24), Hot 100 (No. 53), and Streaming Songs (No. 39).[178] Also peaked at No. 26 on Rolling Stone's Top 100 Songs chart in December 2019."
186,daddy's drinking up our christmas,Commander Cody,1973,Peaked at No. 19 on the Billboard Christmas Singles chart.[96]
187,dearest santa,Bobby Vinton,1964,"Peaked at No. 8 on the Billboard Christmas Singles chart, and released with the B-side ""The Bell That Couldn't Jingle"" Also issued with the hit song ""Mr. Lonely"", as a back-to-back promotional single with a text sleeve.[13] From the album A Very Merry Christmas."
188,deck the halls,Nat King Cole,1960,"From Cole's 1960 album The Magic of Christmas. First entered Billboard's Hot 100 chart at position No. 47 on the week ending December 26, 2020, peaking at No. 43 one year later (on the week ending January 2, 2021). Also made these other Billboard music charts (with peak positions shown): Global 200 (No. 79), Holiday 100 (No. 22), Holiday Streaming Songs (No. 18), Hot 100 Recurrents (No. 2), R&B Streaming Songs (No. 4), R&B/Hip-Hop Streaming Songs (No. 5), and Streaming Songs (No. 24).[179]"
192,deck the halls/the twelve days of christmas,Kenny G,2002,"Medley of two ancient Welsh and English folk carols. From the 2002 album Wishes: A Holiday Album. Peaked at No. 22 on Billboard's Adult Contemporary chart on the week ending January 4, 2003.[45]"
193,dig that crazy santa claus,Ralph Marterie & His Orchestra,1954,"Also recorded by Oscar McLollie & His Honey Jumpers in 1954, and The Brian Setzer Orchestra in 2005."
194,"ding dong, ding dong",George Harrison,1974,Peaked at No. 36 on the Billboard Hot 100 singles chart in February 1975.[186][187]
195,do they know it's christmas?,Band Aid,1984,"A benefit recording by an all-star group to assist famine relief in Ethiopia; organized by Bob Geldof of the British rock band The Boomtown Rats.[143][188] Written by Geldof and Midge Ure of the British rock band Ultravox. A Christmas No. 1 single on the UK singles chart in 1984, and re-recorded on two other separate occasions: Band Aid II in 1989 and Band Aid 20 in 2004."
